DISTRICT, GROSS EXTENT SOWN (ACRES) MAJOR SCHEMES, GROSS EXTENT SOWN (ACRES) MINOR SCHEMES, GROSS EXTENT SOWN (ACRES) RAIN FED, GROSS EXTENT SOWN (ACRES) ALL SCHEMES, GROSS EXTENT HARVESTED (ACRES) MAJOR SCHEMES, GROSS EXTENT HARVESTED (ACRES) MINOR SCHEMES, GROSS EXTENT HARVESTED (ACRES) RAIN FED, GROSS EXTENT HARVESTED (ACRES) ALL SCHEMES,AVERAGE YIELD (BUSHELS PER NETT ACRE) MAJOR SCHEMES,AVERAGE YIELD (BUSHELS PER NETT ACRE) MINOR SCHEMES,AVERAGE YIELD (BUSHELS PER NETT ACRE) RAIN FED,AVERAGE YIELD (BUSHELS PER NETT ACRE) AVERAGE YIELD,NETT EXTENT HARVESTED (ACRES), TOTAL PRODUCTION (‘000 bushels),, TOTAL PRODUCTION in MT,AVERAGE YIELD PER NETT HECTARE (Kg.) AVERAGE YIELD
COLOMBO,252,2402,8838,11492,246,2390,8793,11429,59.54,52.05,52.41,52.48818532,9714.65,510,27.2182906913446,13881.3282525857,1428.63868590093
GAMPAHA,4765,8149,19310,32224,4755,8143,19304,32202,65.96,62.47,56.43,59.36456524,27371.7,1625,27.2182906913446,44229.722373435,1615.80199346761
KALUTARA,321,5356,31448,37125,321,5316,31440,37077,60.08,58.58,56.21,56.58330933,34203.5325,1935,27.2182906913446,52667.3924877518,1540.10096162221
KANDY,10290,14178,9702,34170,10267,13610,7891,31768,71.75,60.24,46.44,60.53203507,25122.1344,1521,27.2182906913446,41399.0201415351,1647.57852667393
MATALE,15717,21409,11836,48962,15620,20975,11752,48347,81.54,62.37,67.44,69.79585972,43478.4571,3035,27.2182906913446,82607.5122482308,1899.72399891127
NUWARAELIYA,2718,10593,488,13799,2718,10566,484,13768,79.41,73.42,73.42,74.60251162,7758.268,579,27.2182906913446,15759.3903102885,2030.55284757757
GALLE,218,352,40689,41259,218,352,40629,41199,75.41,75.41,57.32,57.57028035,32242.3374,1856,27.2182906913446,50517.1475231355,1566.9646257485
MATARA,9205,8157,21989,39351,7916,7808,20144,35868,72.48,66.27,65.8,67.37657634,28317.786,1908,27.2182906913446,51932.4986390855,1833.87524060969
HAMBANTOTA,50248,11835,3975,66058,49758,10993,3766,64517,105.99,80.97,74.04,99.54187005,54325.46,5408,27.2182906913446,147196.516058791,2709.35955498095
JAFFNA ,0,0,22786,22786,0,0,21340,21340,0,0,51.58,51.58,18937.116,977,27.2182906913446,26592.2700054437,1403.91943385955
KILLINOCHCHI ,28836,1476,19662,49974,15400,1260,13497,30157,60.25,58.03,49.51,55.35047485,26761.3218,1481,27.2182906913446,40310.2885138813,1506.54531437126
MANNAR ,24418,4365,112,28895,22952.92,4103.1,105.28,27161.3,80.63,61.24,54.08,77.59795466,25933.60924,2012,27.2182906913446,54763.2008709853,2112.08368698966
VAVUNIYA ,8974,23339,1513,33826,7769,21932,1412,31113,84.54,79.42,70.13,80.27687012,29355.1155,2357,27.2182906913446,64153.5111594992,2184.99918671748
MULATIVU ,9097,10160,7315,26572,5331,7056,4361,16748,47.94,47.52,47.41,47.62504598,15801.738,753,27.2182906913446,20495.3728905825,1296.27234567229
BATTICALOA,55448,5968,85660,147076,17418,111,18114,35643,45.48,48.2,47.52,46.52521168,31458.5118,1464,27.2182906913446,39847.5775721285,1266.33673598258
AMPARA,146211,6211,22576,174998,82902,3071,12084,98057,68.19,46.27,45.01,64.64692363,93713.0749,6057,27.2182906913446,164861.186717474,1759.57875966249
TRINCOMALEE ,43205,13876,17868,74949,34863,11404,11039,57306,47.41,45.85,43.35,46.31746903,53237.274,2466,27.2182906913446,67120.3048448557,1260.68233614589
KURUNEGALA,33258,87949,74181,195388,32819,86825,73132,192776,69.43,64.46,61.62,64.22872406,192776,12382,27.2182906913446,337016.875340229,1748.19608219924
PUTTALAM,18505,25929,5611,50045,17308,25199,5364.95,47871.95,76.62,67.78,64.6,70.61970423,40691.1575,2874,27.2182906913446,78225.3674469243,1922.14763826892
ANURADHAPURA,76598,120468,24765,221831,70357,111631,21248,203236,96.74,78.95,63.64,83.64648227,161235,13487,27.2182906913446,367093.086554164,2276.71426973326
POLONNARUWA,149200,6966,5431,161597,136906,6424,5292,148622,75.49,71.83,46.52,74.30026308,131471.0212,9768,27.2182906913446,265868.263473054,2022.32615895482
BADULLA,27368,26759,14616,68743,26320,26583,14248,67151,70.52,66.08,50.31,64.47421364,57078.35,3680,27.2182906913446,100163.309744148,1754.87788894938
MONARAGALA ,19184,22905,28982,71071,19161,22822,28982,70965,101.08,76.54,60.34,76.54989981,67502,5166,27.2182906913446,140609.689711486,2083.55742542188
RATNAPURA,5232,18235,10383,33850,5232,17930,10356,33518,88.42,53.39,54.21,59.11137001,26590,1572,27.2182906913446,42787.1529667937,1608.91045209581
KEGALLE,0,6645,13648,20293,0,6642,13618,20260,0,70.24,52.09,58.0402616,18979.568,1102,27.2182906913446,29994.5563418617,1579.75671203049
UDAWALAWE,34776,0,0,34776,34776,0,0,34776,122.9,0,0,122.9,34080.48,4188,27.2182906913446,113990.201415351,3345.12792596625
MAHAWELI,63094,0,0,63094,63094,0,0,63094,97.06,0,0,97.06,56582.6992,5492,27.2182906913446,149482.852476864,2641.80729450191
