DISTRICT, GROSS EXTENT SOWN (Hectares.) MAJOR SCHEMES, GROSS EXTENT SOWN (Hectares.) MINOR SCHEMES, GROSS EXTENT SOWN (Hectares.) RAINFED, GROSS EXTENT SOWN (Hectares.) ALL SCHEMES,GROSS EXTENT HARVESTED (Hectares.) MAJOR SCHEMES,GROSS EXTENT HARVESTED (Hectares.) MINOR SCHEMES,GROSS EXTENT HARVESTED (Hectares.) RAINFED,GROSS EXTENT HARVESTED (Hectares.) ALL SCHEMES,AVERAGE YIELD PER NETT HECTARE (Kg.) MAJOR SCHEMES,AVERAGE YIELD PER NETT HECTARE (Kg.) MINOR SCHEMES,AVERAGE YIELD PER NETT HECTARE (Kg.) RAINFED,AVERAGE YIELD PER NETT HECTARE (Kg.) AVERAGE YIELD,NETT EXTENT HARVESTED (Hectares),TOTAL PRODUCTION
COLOMBO,81,440,1857,2378,80,434,1829,2343,3440.5988,3363.7744,2892.516,2998.522304,1990.974691,5969.982016
GAMPAHA,1477,1455,2529,5461,1471,1453,2525,5449,3802.0344,3488.034,3148.2536,3415.35077,4632.077606,15820.16982
KALUTARA,113,1808,9578,11499,113,1781,9500,11394,2596.046,2451.1624,2423.8356,2429.814958,10510.16045,25537.74508
KANDY,3714,3122,2291,9127,3639,3059,2245,8943,4411.4736,3491.6432,2977.0744,3736.757353,6999.23231,26154.4328
MATALE,5055,4943,720,10718,4984,4908,715,10607,4839.4216,3688.6024,3286.4344,4202.237997,8374.406073,35191.2474
NUWARAELIYA,666,2215,65,2946,662,2195,64,2921,4302.1664,4208.8428,3190.0172,4207.670388,1645.313067,6922.935072
GALLE,70,24,10466,10560,70,24,10451,10545,3533.4068,3121.958,2919.3272,2923.864773,8252.759979,24129.95419
MATARA,3574,3210,8617,15401,3574,3206,8592,15372,3830.908,3275.0912,3086.3816,3298.841939,12136.51479,40036.44397
HAMBANTOTA,19796,4176,1367,25339,19753,4144,1363,25260,5345.2252,4090.2548,3632.9176,5046.948375,22070.10458,111386.6785
JAFFNA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILLINOCHCHI ,6295,223,0,6518,6278,223,0,6501,2622.3416,2433.632,0,2615.868405,5768.51963,15089.68824
MANNAR ,1767,51,0,1818,1749,50,0,1799,3873.1872,2739.8984,0,3841.689457,1718.295414,6601.157374
VAVUNIYA ,1418,2845,9,4272,1418,2845,9,4272,4752.2852,3853.5944,3304.996,4150.740039,4042.938612,16781.18717
MULATIVU ,2656,777,0,3433,2603,768,0,3371,3719.5384,3497.8304,0,3669.027648,3180.189927,11668.20477
BATTICALOA,19516,1560,623,21699,19516,1560,623,21699,4132.0184,3197.2356,2940.4668,4030.603689,19152.48904,77196.09299
AMPARA,59303,1709,892,61904,59303,1709,892,61904,4919.3396,3677.2592,3360.1652,4862.58238,59160.90206,287674.7599
TRINCOMALEE ,16504,2010,0,18514,16246,2010,0,18256,4806.9388,3930.9344,0,4710.490025,16960.00932,79889.95474
KURUNEGALA,12108,31732,24779,68619,12084,31500,23874,67458,4279.9956,3860.2972,3357.5872,3757.565677,67457.93591,253477.6246
PUTTALAM,7718,8624,1179,17521,7621,8432,1141,17194,4132.534,3337.4788,3241.5772,3683.511832,14614.46971,53832.57211
ANURADHAPURA,27980,26433,58,54471,27956,25929,58,53943,5063.7076,4474.8924,0,4775.234872,43375.2721,207127.1119
POLONNARUWA,58810,2856,0,61666,58810,2795,0,61605,5075.0508,4028.3828,0,5027.563793,54495.74833,273980.8512
BADULLA,8414,4738,27,13179,8414,4708,27,13149,4971.9308,3373.0552,2784.7556,4394.962205,11177.04572,49122.6935
MONARAGALA ,6714,7187,1863,15764,6710,7041,1805,15556,4944.0884,3718.5072,2647.0904,4122.836239,15245.01113,62852.68435
RATNAPURA,2086,6646,3002,11734,2086,6218,2997,11301,4807.4544,3197.7512,2518.1904,3314.660956,9606.0745,31840.88009
KEGALLE,0,2230,4794,7024,0,2216,4787,7003,0,2956.4504,2662.5584,2755.556354,6560.118427,18076.77602
UDA WALAWE,13882,0,0,13882,13882,0,0,13882,6532.1364,0,0,6532.1364,11799.31131,77074.71087
MAHAWELI 'H',17558,0,0,17558,17558,0,0,17558,5373.0676,0,0,5373.0676,15745.75547,84603.00855
